title,price,city,agent_id,is_published
Superbe Villa avec piscine,750000,Cannes,John Doe,true
Appartement Lumineux Centre,250000,Lyon,Jane Doe,true
Maison de ville atypique,320000,Bordeaux,John Doe,false
Studio étudiant proche fac,85000,Toulouse,Jane Doe,true
Appart Paris,-500,Paris,John Doe,true
Loft industriel rénové,410000,Nantes,John Doe,true
Chalet en bois massif,550000,Chamonix,Jane Doe,false
Maison familiale avec jardin,290000,Rennes,John Doe,true
T2,120000,Marseille,Jane Doe,true
Duplex vue mer,680000,Nice,John Doe,true
Appartement T3 balcons,210000,Montpellier,Jane Doe,true
Villa contemporaine 300m2,,Aix-en-Provence,John Doe,false
Ferme à rénover,95000,Limoges,John Doe,true
Maison bourgeoise,480000,Tours,Jane Doe,true
Penthouse de luxe,1200000,Paris,John Doe,true
Maison mitoyenne,180000,,Jane Doe,true
Appartement rez-de-jardin,165000,Angers,John Doe,false
Studio cosy hypercentre,90000,Dijon,Jane Doe,true
Propriété équestre,850000,Deauville,John Doe,false
T4 spacieux traversant,275000,Grenoble,Jane Doe,true
Appartement terrasse plein sud,310000,Toulon,John Doe,true
Maison d'architecte vue lac,920000,Annecy,Jane Doe,true
Terrain constructible,0,Avignon,John Doe,false
Grand Appartement Familial,400000,Strasbourg,John Doe,true
Grand Appartement Familial,400000,Strasbourg,Jane Doe,true
Immeuble de rapport,600000,Lille,John Doe,false
Manoir normand,1500000,Rouen,Jane Doe,true
Studio meublé,75000,Poitiers,John Doe,true
Villa standing piscine,820000,Biarritz,Jane Doe,false
Appartement à rénover,-10000,Brest,John Doe,true
T3 avec garage,195000,Clermont-Ferrand,Jane Doe,true
Maison de pêcheur,240000,Saint-Malo,John Doe,true
Appartement haussmannien,890000,Paris,Jane Doe,false
Bastide provençale,740000,Aix-en-Provence,John Doe,true
Maisonnette de charme,110000,Perpignan,Jane Doe,true
Appartement dernier étage,340000,Nîmes,John Doe,false
T5 duplex avec cour,295000,Metz,Jane Doe,true
Château historique,2500000,Blois,John Doe,true
Appartement vue cathédrale,220000,Amiens,Jane Doe,true
Box de garage,25000,Lyon,John Doe,false
Local commercial,180000,,Jane Doe,true
Maison de village avec patio,210000,Avignon,John Doe,true
Villa californienne,950000,Cannes,John Doe,false
T1 bis rénové,105000,Toulouse,Jane Doe,true
Appartement rez-de-chaussée,140000,Bordeaux,John Doe,true
Maison de maître avec parc,880000,Nancy,Jane Doe,false
Studio cabine au ski,65000,La Plagne,John Doe,true
Appartement moderne éco-quartier,260000,Strasbourg,Jane Doe,true
Longère bretonne,190000,Vannes,John Doe,false
Domaine viticole avec bastide,3200000,Saint-Emilion,Jane Doe,true
