--- STATISTIQUES PAR VILLE ---
Ville,Nombre de biens,Prix Moyen,Prix Min,Prix Max
Strasbourg,2,330000.0,260000.0,400000.0
Toulouse,2,95000.0,85000.0,105000.0
Dijon,1,90000.0,90000.0,90000.0
Lyon,1,250000.0,250000.0,250000.0
Saint-Malo,1,240000.0,240000.0,240000.0
Amiens,1,220000.0,220000.0,220000.0
Poitiers,1,75000.0,75000.0,75000.0
Montpellier,1,210000.0,210000.0,210000.0
Avignon,1,210000.0,210000.0,210000.0
Saint-Emilion,1,3200000.0,3200000.0,3200000.0
Rouen,1,1500000.0,1500000.0,1500000.0
Nice,1,680000.0,680000.0,680000.0
Toulon,1,310000.0,310000.0,310000.0
Perpignan,1,110000.0,110000.0,110000.0
Paris,1,1200000.0,1200000.0,1200000.0
Clermont-Ferrand,1,195000.0,195000.0,195000.0
Aix-en-Provence,1,740000.0,740000.0,740000.0
La Plagne,1,65000.0,65000.0,65000.0
Cannes,1,750000.0,750000.0,750000.0
Limoges,1,95000.0,95000.0,95000.0
Tours,1,480000.0,480000.0,480000.0
Blois,1,2500000.0,2500000.0,2500000.0
Grenoble,1,275000.0,275000.0,275000.0
Bordeaux,1,140000.0,140000.0,140000.0
Annecy,1,920000.0,920000.0,920000.0
Metz,1,295000.0,295000.0,295000.0
Nantes,1,410000.0,410000.0,410000.0
Rennes,1,290000.0,290000.0,290000.0

--- TOP 3 AGENTS ---
Nom de l'agent,Biens publiés
Jane Doe,16
John Doe,14

--- EVOLUTION MENSUELLE ---
Mois,Nouvelles publications
2026-03,30
